search URL:,https://patents.google.com/?q=%28~patent%252fUS20180069262A1%29&q=%28~patent%252fUS11705576B2%29&q=%28~patent%252fUS11258057B2%29&q=%28~patent%252fCN110311168B%29&q=%28~patent%252fCN111344812B%29&q=%28~patent%252fCN111509222A%29&q=%28~patent%252fCN114122503A%29&q=%28~patent%252fGB2039864A%29&oq=%28~patent%252fCN111344812B%29+OR+%28~patent%252fUS11705576B2%29+OR+%28~patent%252fUS11258057B2%29+OR+%28~patent%252fUS20180069262A1%29+OR+%28~patent%252fCN110311168B%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
JP-6538859-B2,Lithium nickel manganese cobalt oxide cathode powder for high voltage lithium ion batteries ,"ユミコア, ユミコア・コリア・リミテッド","シン・シア, イェンス・ポールセン, ジヒェ・キム, ソン−イ・ハン",2015-01-23,2016-01-20,2019-07-03,2019-07-03,https://patents.google.com/patent/JP6538859B2/en,
CN-110998923-B,Method for inhibiting metal diffusion in solid electrolyte ,密执安州立大学董事会,"J·坂本, T·汤普森, A·沙拉斐, N·泰勒, N·P·达斯谷普塔, E·卡茲亚克",2017-06-06,2018-06-06,2023-08-08,2023-08-08,https://patents.google.com/patent/CN110998923B/en,
WO-2021199677-A1,"Solid electrolyte material, battery using same, and method for producing solid electrolyte material ",パナソニックＩｐマネジメント株式会社,"敬太 水野, 敬 久保, 真志 境田, 哲也 浅野, 章裕 酒井",2020-03-31,2021-02-05,2021-10-07,,https://patents.google.com/patent/WO2021199677A1/en,https://patentimages.storage.googleapis.com/4a/eb/b5/74550648331267/JPOXMLDOC01-appb-D000005.png
CN-109390568-B,Positive electrode mixture and method for producing same ,丰田自动车株式会社,野濑雅文,2017-08-09,2018-07-27,2022-03-22,2022-03-22,https://patents.google.com/patent/CN109390568B/en,https://patentimages.storage.googleapis.com/7c/08/52/b5235aff4a0d8c/HDA0001745957850000011.png
JP-2014041719-A,"Electrode layer including sulfide-based solid electrolyte, electrolyte layer including sulfide-based solid electrolyte, and all solid state battery including them ","Idemitsu Kosan Co Ltd, 出光興産株式会社","Yoshikatsu Kiyono, 美勝 清野, Masakatsu Kimura, 正克 木村",2012-08-21,2012-08-21,2014-03-06,,https://patents.google.com/patent/JP2014041719A/en,https://patentimages.storage.googleapis.com/cf/e3/05/1c0d394116a496/2014041719-2.png
CN-114933331-A,Sulfide solid electrolyte and preparation method thereof ,上海屹锂新能源科技有限公司,"张希, 朱金辉, 陈振营",2022-05-13,2022-05-13,2022-08-23,,https://patents.google.com/patent/CN114933331A/en,https://patentimages.storage.googleapis.com/f8/89/ca/94ebf30a416e44/HDA0003642889800000011.png
JP-2015507333-A,Sulfate electrode ,"ファラディオン リミテッド, ファラディオン  リミテッド",バーカー，ジェレミー,2012-02-01,2013-01-30,2015-03-05,,https://patents.google.com/patent/JP2015507333A/en,https://patentimages.storage.googleapis.com/3f/41/1c/78400ea481f0c3/2015507333-6.png
CN-110556572-A,Positive electrode mixture and method for producing same ,丰田自动车株式会社,野濑雅文,2018-06-01,2019-05-15,2019-12-10,,https://patents.google.com/patent/CN110556572A/en,
US-10135084-B2,"Solid ion conductor, solid electrolyte including the same, lithium battery including solid electrolyte, and method of manufacturing lithium battery ","Samsung Electronics Co., Ltd.","Jae-myung Lee, Tae-Young Kim, Young-sin Park, Seung-Wook Baek",2012-07-06,2013-07-03,2018-11-20,2018-11-20,https://patents.google.com/patent/US10135084B2/en,https://patentimages.storage.googleapis.com/79/6c/6f/d34af3cc057a83/US10135084-20181120-D00000.png
JP-5870129-B2,Powder for negative electrode of lithium ion secondary battery and method for producing the same ,株式会社大阪チタニウムテクノロジーズ,"悠介 柏谷, 悠介 柏谷, 淳 織田, 淳 織田",2014-02-12,2014-02-12,2016-02-24,2016-02-24,https://patents.google.com/patent/JP5870129B2/en,
JP-2014192093-A,Negative electrode mixture ,"Idemitsu Kosan Co Ltd, 出光興産株式会社","Yota Maekawa, 陽太 前川, Hiromichi Kojika, 博道 小鹿, Hiroyuki Higuchi, 弘幸 樋口",2013-03-28,2013-03-28,2014-10-06,,https://patents.google.com/patent/JP2014192093A/en,
JP-5651937-B2,"Cathode active material for non-aqueous electrolyte secondary battery, method for producing the same, and non-aqueous electrolyte secondary battery using the same ",住友金属鉱山株式会社,"広将 戸屋, 広将 戸屋, 福井　篤, 篤 福井, 健作 森, 健作 森, 竜一 葛尾, 竜一 葛尾",2008-09-10,2009-09-08,2015-01-14,2015-01-14,https://patents.google.com/patent/JP5651937B2/en,
DK-2761687-T3,condensed polyanionelektrode ,Faradion Ltd,Jeremy Barker,2011-09-30,2012-09-25,2016-04-18,2016-04-18,https://patents.google.com/patent/DK2761687T3/en,
US-10050272-B2,Negative electrode active material for non-aqueous electolyte secondary battery and method of producing the same ,"Shin-Etsu Chemical Co., Ltd.","Tetsuo Nakanishi, Kazuyuki Taniguchi, Yoshitaka Aoki, Yoshiyasu Yamada",2013-12-25,2014-12-02,2018-08-14,2018-08-14,https://patents.google.com/patent/US10050272B2/en,https://patentimages.storage.googleapis.com/23/0d/18/3216a236badb39/US10050272-20180814-D00000.png
WO-2013062037-A1,Method for producing oxide material ,日本電気硝子株式会社,"英郎 山内, 木村　裕司, 博之 岡村, 伸敏 伊藤",2011-10-28,2012-10-25,2013-05-02,,https://patents.google.com/patent/WO2013062037A1/en,https://patentimages.storage.googleapis.com/9b/58/5b/f38f790cab6e38/JPOXMLDOC01-appb-D000003.png
JP-2018190658-A,"Solid electrolyte layer for all-solid alkali metal secondary battery, and all-solid alkali metal secondary battery ","公立大学法人大阪府立大学, Osaka Prefecture Univ","晃敏 林, Akitoshi Hayashi, 晃敏 林, 辰巳砂　昌弘, Masahiro Tatsumisago, 昌弘 辰巳砂",2017-05-10,2017-05-10,2018-11-29,,https://patents.google.com/patent/JP2018190658A/en,
WO-2018077433-A1,INCREASING IONIC CONDUCTIVITY OF LiTi2(PS4)3 BY AL DOPING ,Toyota Motor Europe,Yuki KATOH,2016-10-28,2016-10-28,2018-05-03,,https://patents.google.com/patent/WO2018077433A1/en,
JP-2016143614-A,All-solid battery ,"トヨタ自動車株式会社, Toyota Motor Corp","杉浦　功一, Koichi Sugiura, 功一 杉浦, 怜 吉田, Rei Yoshida, 怜 吉田, 藤巻　寿隆, Hisataka Fujimaki, 寿隆 藤巻, 祐貴 松下, Yuki Matsushita, 祐貴 松下",2015-02-04,2015-02-04,2016-08-08,,https://patents.google.com/patent/JP2016143614A/en,https://patentimages.storage.googleapis.com/dc/ca/80/761a927b2a235b/2016143614-7.png
US-10781101-B2,Solid electrolyte production method using a multi-axial kneading machine ,"Idemitsu Kosan Co., Ltd.","Atsushi Sato, Minoru Senga, Masao Aida",2015-06-17,2016-06-16,2020-09-22,2020-09-22,https://patents.google.com/patent/US10781101B2/en,https://patentimages.storage.googleapis.com/56/7c/af/b656d3d61a64fb/US10781101-20200922-D00000.png
CN-108352567-A,Sulfide type solid electrolyte and apply its all-solid-state battery ,株式会社Lg化学,"成多荣, 郑粲烨, 金秀桓, 蔡宗铉, 梁斗景",2016-01-12,2017-01-12,2018-07-31,,https://patents.google.com/patent/CN108352567A/en,
KR-20190142572-A,Sulfide-based Solid Electrolytes and All-Solid-State Lithium-Ion Secondary Batteries Including the Same ,한양대학교 산학협력단,"정윤석, 곽히람",2018-06-18,2018-06-18,2019-12-27,,https://patents.google.com/patent/KR20190142572A/en,https://patentimages.storage.googleapis.com/00/63/cd/bccbb1a4b2ad71/pat00001.png
JP-6139864-B2,"SOLID ELECTROLYTE MOLDED BODY, ITS MANUFACTURING METHOD, AND ALL SOLID BATTERY ",出光興産株式会社,"孝宜 菅原, 孝宜 菅原, 美勝 清野, 美勝 清野",2012-11-06,2012-11-06,2017-05-31,2017-05-31,https://patents.google.com/patent/JP6139864B2/en,
CN-114267874-A,Geranite type sulfide solid electrolyte containing lithium halide coating layer and preparation method thereof ,燕山大学,"张隆, 宋瑞丰, 曾德武",2021-12-23,2021-12-23,2022-04-01,,https://patents.google.com/patent/CN114267874A/en,https://patentimages.storage.googleapis.com/0e/0e/f7/23f10a686c9283/HDA0003428505970000011.png
CN-106797052-B,Sodium anti-perovskite solid electrolyte composition ,内华达高等教育系统董事会代表拉斯维加斯内华达大学,"赵雨生, 王咏刚, 邹如强",2014-08-22,2014-08-22,2019-04-02,2019-04-02,https://patents.google.com/patent/CN106797052B/en,
CN-112400242-A,Negative electrode material and battery ,松下知识产权经营株式会社,"大岛龙也, 佐佐木出, 西山诚司, 河濑觉",2018-11-29,2019-10-10,2021-02-23,,https://patents.google.com/patent/CN112400242A/en,https://patentimages.storage.googleapis.com/8e/ec/2f/52e0d11fcf5823/HDA0002885630240000011.png
CN-116133990-A,Solid electrolyte material and battery using same ,松下知识产权经营株式会社,"水野敬太, 久保敬, 浅野哲也, 田中武拓, 若杉健介, 小森知行, 滨田贵裕, 藤井干也, 酒井章裕",2020-07-22,2021-05-20,2023-05-16,,https://patents.google.com/patent/CN116133990A/en,https://patentimages.storage.googleapis.com/ed/ea/dd/9550d95b66ccc7/HDA0004113666100000011.png
CN-108493440-B,"Lithium molybdate positive electrode material of high-temperature lithium battery and preparation method thereof, and positive electrode material of high-temperature lithium battery and preparation method thereof ",中国科学院上海微系统与信息技术研究所,"任晓英, 吴铸, 杜俊霖, 蒲朝辉, 许小鸥, 王润博, 顾嘉川",2018-01-30,2018-01-30,2020-10-02,2020-10-02,https://patents.google.com/patent/CN108493440B/en,https://patentimages.storage.googleapis.com/6b/9e/33/e28d24864128e3/HDA0001563650800000011.png
JP-2016143527-A,Method for producing coated lithium-nickel complex oxide particle ,"住友金属鉱山株式会社, Sumitomo Metal Mining Co Ltd","剛秀 本間, Takehide Honma, 剛秀 本間, 建作 森, Kensaku Mori, 建作 森",2015-01-30,2015-01-30,2016-08-08,,https://patents.google.com/patent/JP2016143527A/en,
JP-5772961-B2,"Lithium ion conductor and method for producing the same, all-solid lithium secondary battery ",富士通株式会社,"健司 本間, 健司 本間, 山本　保, 保 山本, 田中　努, 努 田中",2011-08-17,2011-08-17,2015-09-02,2015-09-02,https://patents.google.com/patent/JP5772961B2/en,
CN-108511791-B,A kind of quasi-solid electrolyte film and its preparation method and application ,浙江大学,"谢健, 朱崇佳, 孙秋实, 曹高劭, 赵新兵",2018-03-08,2018-03-08,2019-10-15,2019-10-15,https://patents.google.com/patent/CN108511791B/en,https://patentimages.storage.googleapis.com/63/97/0f/040a4da74496ca/HDA0001591268710000011.png
CN-107408689-B,Positive electrode active material for nonaqueous electrolyte secondary battery and secondary battery ,户田工业株式会社,"梶山亮尚, 正木龙太, 胁山刚, 鹿岛彻也, 藤野昌市, 佐佐木修, 松本和顺",2015-02-17,2016-02-15,2022-05-17,2022-05-17,https://patents.google.com/patent/CN107408689B/en,https://patentimages.storage.googleapis.com/78/f8/40/705a569a05f1e4/HDA0001377758760000011.png
CN-110492171-A,"The manufacturing method of solid electrolyte, all-solid-state battery and solid electrolyte ",丰田自动车株式会社,岩崎正博,2018-05-14,2019-04-29,2019-11-22,,https://patents.google.com/patent/CN110492171A/en,
JP-2020184545-A,High-capacity polymer cathode and high energy density rechargeable battery containing the same ,"イオニツク・マテリアルズ・インコーポレーテツド, Ionic Materials Inc","ジマーマン，マイケル・エイ, A Zimmerman Michael, ライジング，ランデイ, Leising Randy, ガブリーロフ，アレクセイ・ビー, B Gavrilov Alexei, スミス，キース, Smith Keith, テオリ，アンデイ, Teoli Andy",2014-04-01,2020-07-06,2020-11-12,,https://patents.google.com/patent/JP2020184545A/en,
CN-116133991-A,Solid electrolyte material and battery using same ,松下知识产权经营株式会社,"水野敬太, 久保敬, 浅野哲也, 酒井章裕",2020-07-22,2021-05-18,2023-05-16,,https://patents.google.com/patent/CN116133991A/en,https://patentimages.storage.googleapis.com/1b/c0/56/62135f0d282dbb/HDA0004113761800000011.png
TW-I596828-B,"Positive electrode active material for lithium ion battery, positive electrode for lithium ion battery, and lithium ion battery ",Jx Nippon Mining & Metals Corp,Kentaro Okamoto,2012-09-19,2013-05-29,2017-08-21,2017-08-21,https://patents.google.com/patent/TWI596828B/en,
JP-6648649-B2,Manufacturing method of all solid lithium sulfur battery ,トヨタ自動車株式会社,"正人 穂積, 正人 穂積",2016-08-08,2016-08-08,2020-02-14,2020-02-14,https://patents.google.com/patent/JP6648649B2/en,
KR-101689492-B1,"Solid electrolyte sulfide material, battery, and process for producing solid electrolyte sulfide material ",도요타 지도샤（주）,"유키 가토, 마유코 오사키",2013-01-11,2013-12-18,2016-12-23,2016-12-23,https://patents.google.com/patent/KR101689492B1/en,https://patentimages.storage.googleapis.com/5c/ab/fb/fb7c7e566f09b3/112015064092034-pct00004.png
EP-3065207-B1,"Manufacturing method of cathode active material, and cathode active material for lithium secondary battery manufactured thereby ","LG Chem, Ltd.","Hyun Jin Oh, Ho Suk Shin, Jin Hyung Lim, Dong Hun Lee, Joo Hong Jin, Wang Mo Jung",2013-10-29,2014-10-29,2017-08-30,2017-08-30,https://patents.google.com/patent/EP3065207B1/en,https://patentimages.storage.googleapis.com/46/63/37/faffe6f00b01df/imgf0001.png
US-10177406-B2,Solid electrolyte and/or electroactive material ,"Samsung Electronics Co., Ltd., Massachusetts Institute Of Technology","Lincoln J. Miara, William D. Richards, Yan E. Wang, Jae Chul Kim, Gerbrand Ceder",2015-07-21,2016-05-16,2019-01-08,2019-01-08,https://patents.google.com/patent/US10177406B2/en,https://patentimages.storage.googleapis.com/1c/5b/9c/3c5efd1e6e56fa/US10177406-20190108-D00000.png
JP-6721669-B2,"Solid electrolyte composition, electrode sheet for all solid state secondary battery and all solid state secondary battery, and electrode sheet for all solid state secondary battery and method for manufacturing all solid state secondary battery ",富士フイルム株式会社,"洋史 加賀, 洋史 加賀, 宏顕 望月, 宏顕 望月, 智則 三村, 智則 三村",2016-02-19,2017-02-03,2020-07-15,2020-07-15,https://patents.google.com/patent/JP6721669B2/en,https://patentimages.storage.googleapis.com/f1/07/96/3d0d3b0b94884e/0006721669-3.png
KR-101334050-B1,Lithium Manganese Phosphate Positive Material for Lithium Secondary Battery ,"토요타 찌도샤 카부시끼카이샤, 다우 글로벌 테크놀로지스 엘엘씨","아이반 엑스날, 띠에리 드레젠, 남희 권로, 모토쉬 이소노",2006-02-14,2006-02-14,2013-12-05,2013-12-05,https://patents.google.com/patent/KR101334050B1/en,https://patentimages.storage.googleapis.com/35/c2/9e/056652753d2e53/112008064872391-pct00001.png
JP-2021535582-A,Methods for Producing Solid Lithium Ion Conducting Materials and Solid Lithium Ion Conducting Materials ,"ビーエイエスエフ・ソシエタス・エウロパエアBasf Se, ビーエイエスエフ・ソシエタス・エウロパエア, ユニバーシティ オブ ウォータールー","ナザール，リンダ, アダーマン，トルベン, クリシュ，イェルン, ハルトマン，パスカル, チョウ，ライトン",2018-08-23,2019-08-20,2021-12-16,,https://patents.google.com/patent/JP2021535582A/en,https://patentimages.storage.googleapis.com/91/02/57/49f4dd8a751d86/2021535582-11.png
JP-7427156-B2,"Lithium nickelate-based positive electrode active material particles and method for producing the same, and non-aqueous electrolyte secondary battery ",戸田工業株式会社,"浩康 渡邊, スン・シャン",2016-01-15,2021-10-04,2024-02-05,2024-02-05,https://patents.google.com/patent/JP7427156B2/en,
CN-105594052-B,"The manufacture method of sulfide solid electrolyte material, battery and sulfide solid electrolyte material ",丰田自动车株式会社,"山崎久嗣, 加藤祐树, 大友崇督, 川上真世",2013-10-02,2014-09-17,2017-12-01,2017-12-01,https://patents.google.com/patent/CN105594052B/en,
JP-2013080637-A,"Composite electrode material and method for producing the same, and lithium battery manufactured using the composite electrode material ","Idemitsu Kosan Co Ltd, 出光興産株式会社","Kazuaki Yanagi, 和明 柳, Akira Yuya, 亮 油谷, Minoru Chiga, 実 千賀, Takeshi Ota, 剛 太田",2011-10-04,2011-10-04,2013-05-02,,https://patents.google.com/patent/JP2013080637A/en,
WO-2015133348-A1,Lithium complex oxide ,"Jx日鉱日石金属株式会社, 学校法人東京理科大学","直明 藪内, 慎一 駒場, 梶谷　芳男",2014-03-03,2015-02-25,2015-09-11,,https://patents.google.com/patent/WO2015133348A1/en,https://patentimages.storage.googleapis.com/7d/b7/91/16d5f78414f492/JPOXMLDOC01-appb-D000001.png
CN-106299477-B,The manufacturing method of sulfide solid electrolyte ,丰田自动车株式会社,土井孝吉,2015-06-29,2016-06-28,2018-09-04,2018-09-04,https://patents.google.com/patent/CN106299477B/en,
CN-108701860-A,Solid electrolyte material and battery ,松下知识产权经营株式会社,"浅野哲也, 酒井章裕, 大内晓, 境田真志, 宫崎晃畅, 长谷川真也",2016-08-04,2017-07-07,2018-10-23,,https://patents.google.com/patent/CN108701860A/en,
KR-101633718-B1,Solid electrolyte and all-solid state lithium ion secondary battery ,가부시끼가이샤 히다치 세이사꾸쇼,"준 가와지, 다카히로 야마키",2013-08-09,2014-08-05,2016-06-27,2016-06-27,https://patents.google.com/patent/KR101633718B1/en,https://patentimages.storage.googleapis.com/e8/d9/66/b6ecd3969324c4/112014073989207-pat00002.png
JP-7113513-B2,Inorganic sulfide and method for producing the same ,国立研究開発法人産業技術総合研究所,"光春 田渕, 敏勝 小島, 正明 竹田, 彩 武中, 侑 山家, 靖仁 青木",2016-11-28,2017-11-10,2022-08-05,2022-08-05,https://patents.google.com/patent/JP7113513B2/en,https://patentimages.storage.googleapis.com/2f/cd/53/59e322dcfdc3ed/0007113513000013.png
US-10811726-B2,"Solid electrolyte for all-solid lithium secondary battery, all-solid lithium secondary battery, and method of preparing the solid electrolyte ","Samsung Electronics Co., Ltd.","Yuichi Aihara, Tomoyuki Tsujimura",2017-11-14,2018-11-05,2020-10-20,2020-10-20,https://patents.google.com/patent/US10811726B2/en,https://patentimages.storage.googleapis.com/e2/c9/6b/9476bb33852e69/US10811726-20201020-D00000.png
JP-7139264-B2,Solid ion-conducting polymer materials and applications ,イオニツク・マテリアルズ・インコーポレーテツド,"ジマーマン，マイケル・エイ, ガブリーロフ，アレクセイ・ビー",2013-12-03,2019-02-15,2022-09-20,2022-09-20,https://patents.google.com/patent/JP7139264B2/en,https://patentimages.storage.googleapis.com/34/93/b7/df883a619ff5c2/0007139264000005.png
JP-2013143338-A,Sulfide-based solid electrolyte composition ,"Idemitsu Kosan Co Ltd, 出光興産株式会社","Yoshikatsu Kiyono, 美勝 清野, Akira Yuya, 亮 油谷, Takeshi Ota, 剛 太田",2012-01-12,2012-01-12,2013-07-22,,https://patents.google.com/patent/JP2013143338A/en,
EP-3595058-A1,Positive electrode active material and battery ,"Panasonic Intellectual Property Management Co., Ltd.","Ryuichi Natsui, Kensuke Nakura, Junko Matsushita, Issei Ikeuchi",2017-03-06,2017-11-20,2020-01-15,,https://patents.google.com/patent/EP3595058A1/en,https://patentimages.storage.googleapis.com/7d/30/77/8acf4b4c97c795/imgf0001.png
JP-2015032462-A,Sulfide solid electrolytic material ,"トヨタ自動車株式会社, Toyota Motor Corp","重規 濱, Shigeki Hama, 重規 濱, 尚己 長田, Naomi Osada, 尚己 長田, 知哉 鈴木, Tomoya Suzuki, 知哉 鈴木",2013-08-02,2013-08-02,2015-02-16,,https://patents.google.com/patent/JP2015032462A/en,
CN-106716549-B,"Glass ceramic, lithium ion conductor, battery, electronic device, and method for producing electrode ",株式会社村田制作所,"古川圭子, 古谷龙也, 汲田英之, 宫地左伊, 柴田晴美, 铃木正光, 须藤业, 清水圭辅",2014-11-10,2015-11-09,2020-03-24,2020-03-24,https://patents.google.com/patent/CN106716549B/en,https://patentimages.storage.googleapis.com/22/8d/12/b58789ed215222/HDA0001254213960000011.png
CN-116364914-A,Positive electrode active material for sodium ion secondary battery ,日本电气硝子株式会社,山内英郎,2017-04-27,2018-03-23,2023-06-30,,https://patents.google.com/patent/CN116364914A/en,
JP-6164812-B2,All solid lithium ion secondary battery ,株式会社オハラ,"和仁 小笠, 和仁 小笠",2012-09-19,2012-09-19,2017-07-19,2017-07-19,https://patents.google.com/patent/JP6164812B2/en,
JP-2022161973-A,"Particle of transition metal complex hydroxide, positive pole active material for lithium-ion secondary battery, and lithium-ion secondary battery ","住友金属鉱山株式会社, Sumitomo Metal Mining Co Ltd","敏弘 加藤, Toshihiro Kato, 平 相田, Taira Aida, 辰也 高橋, Tatsuya Takahashi, 慎介 菅沼, Shinsuke Suganuma",2018-06-25,2022-08-10,2022-10-21,,https://patents.google.com/patent/JP2022161973A/en,https://patentimages.storage.googleapis.com/eb/8c/d3/ea26f94838c09a/2022161973000004.png
JP-7172433-B2,Solid electrolyte material and its compact ,三菱瓦斯化学株式会社,"浩 長谷川, 敬太 野口",2018-10-19,2018-10-19,2022-11-16,2022-11-16,https://patents.google.com/patent/JP7172433B2/en,https://patentimages.storage.googleapis.com/0a/c3/06/a6492b7a05ecd1/0007172433000002.png
JP-2023180901-A,"Lithium titanate powder, negative electrode active material composition using the same, and all-solid-state secondary battery ","Ｕｂｅ株式会社, Ube Corp, 公立大学法人大阪, Univ Public Corp Osaka","圭 島本, Kei Shimamot, 敦 作田, Atsushi Sakuta, 拓哉 木村, Takuya Kimura, 晃敏 林, Akitoshi Hayashi, 昌弘 辰巳砂, Masahiro Tatsumisago",2022-06-10,2022-06-10,2023-12-21,,https://patents.google.com/patent/JP2023180901A/en,
EP-3151317-B1,"Positive electrode active material for nonaqueous electrolyte secondary batteries, production method thereof, and nonaqueous electrolyte secondary battery including said material ","Sumitomo Metal Mining Co., Ltd.","Katsuya Inoue, Tetsufumi Komukai",2014-05-27,2015-05-26,2021-11-24,2021-11-24,https://patents.google.com/patent/EP3151317B1/en,https://patentimages.storage.googleapis.com/b1/ef/ab/be6da6339164a2/imgf0001.png
KR-101785262-B1,"Positive electrode active material, preparing method thereof, positive electrode including the same, and lithium secondary battery employing the positive electrode ",삼성에스디아이 주식회사,"이영훈, 이순률, 박나리, 김영기, 최익규, 박용철, 최홍규",2013-07-08,2013-07-08,2017-10-16,2017-10-16,https://patents.google.com/patent/KR101785262B1/en,https://patentimages.storage.googleapis.com/b4/4e/83/790c1d8db228aa/112013061363298-pat00001.png
KR-20200060892-A,Sulfide-based Solid Electrolytes and All-Solid-State Lithium-Ion Secondary Batteries Including the Same ,한양대학교 산학협력단,"정윤석, 안우현",2018-11-23,2018-11-23,2020-06-02,,https://patents.google.com/patent/KR20200060892A/en,https://patentimages.storage.googleapis.com/19/6a/74/05b61a2671a87b/pat00001.png
JP-2020119783-A,"Solid electrolyte, lithium ion power storage element, and manufacturing methods thereof ","株式会社Ｇｓユアサ, Gs Yuasa Corp","大輔 吉川, Daisuke Yoshikawa, 大輔 吉川",2019-01-24,2019-01-24,2020-08-06,,https://patents.google.com/patent/JP2020119783A/en,https://patentimages.storage.googleapis.com/e2/71/00/5d0e8c9c2addb0/2020119783-5.png
US-10424803-B2,Ionic liquid catholytes and electrochemical devices containing same ,Arizona Board Of Regents On Behalf Of Arizona State University,"Charles Austen Angell, Leigang Xue",2014-09-15,2015-09-15,2019-09-24,2019-09-24,https://patents.google.com/patent/US10424803B2/en,https://patentimages.storage.googleapis.com/c8/f8/8e/55fb05dbafa62c/US10424803-20190924-D00000.png
KR-101323385-B1,Synthesis of cathode active materials ,"발렌스 테크놀로지, 인코포레이티드","비잉 황, 제프리 스워이어, 야지드 엠. 사이디, 하이타오 황",2004-05-20,2005-05-19,2013-10-29,2013-10-29,https://patents.google.com/patent/KR101323385B1/en,https://patentimages.storage.googleapis.com/ec/df/ed/e731a48fb688d4/112006084091686-pct00001.png
US-11437612-B2,Cathode mixture and method for producing the same ,Toyota Jidosha Kabushiki Kaisha,Masafumi Nose,2017-08-09,2018-07-19,2022-09-06,2022-09-06,https://patents.google.com/patent/US11437612B2/en,https://patentimages.storage.googleapis.com/4d/ad/88/f10d9caacb6ecd/US11437612-20220906-D00000.png
CN-107108328-A,"Method for producing sulfide glass and crystalline solid electrolyte, sulfide glass, and solid battery ",出光兴产株式会社,"中田明子, 丸山淳平",2014-10-31,2015-10-30,2017-08-29,,https://patents.google.com/patent/CN107108328A/en,
CN-106299468-B,"A kind of solid electrolyte and preparation method thereof, lithium ion battery ",比亚迪股份有限公司,"易观贵, 马永军, 郭姿珠, 王向慧, 谢静",2015-06-25,2015-06-25,2019-07-26,2019-07-26,https://patents.google.com/patent/CN106299468B/en,
CN-115803285-B,"Sulfide-based solid electrolyte for lithium ion secondary battery, method for producing same, solid electrolyte layer, and lithium ion secondary battery ",Ａｇｃ株式会社,"赤塚公章, 藤井直树, 菖蒲谷哲志, 西沢学, 田中宏明, 寺园真二, 林英明",2020-07-07,2021-07-07,2024-05-28,2024-05-28,https://patents.google.com/patent/CN115803285B/en,
US-7901598-B2,Solid electrolyte and method of producing the same ,"Sumitomo Electric Industries, Ltd.",Nobuhiro Ota,2006-05-15,2007-05-10,2011-03-08,2011-03-08,https://patents.google.com/patent/US7901598B2/en,https://patentimages.storage.googleapis.com/5d/b2/70/414f9efdf160c7/US07901598-20110308-D00000.png
CN-102306771-A,Preparation method of vanadium sodium fluophosphate cathode material of hybrid ion battery ,中南大学,"刘素琴, 宋维鑫, 黄承焕, 涂飞跃, 冯秋菊",2011-08-17,2011-08-17,2012-01-04,,https://patents.google.com/patent/CN102306771A/en,https://patentimages.storage.googleapis.com/13/72/0b/c07034746e0139/HDA0000083914600000011.png
US-11018339-B2,"Positive electrode active material for nonaqueous electrolyte secondary batteries, method for producing same, and nonaqueous electrolyte secondary battery using same ",Basf Toda Battery Materials Llc,"Akihisa Kajiyama, Kazumichi Koga, Tsuyoshi WAKIYAMA, Ryuta Masaki, Takayuki Yamamura, Kazutoshi Matsumoto",2016-03-30,2018-10-01,2021-05-25,2021-05-25,https://patents.google.com/patent/US11018339B2/en,https://patentimages.storage.googleapis.com/4c/92/ac/7cc281990db04f/US11018339-20210525-D00000.png
CN-112838264-A,"Solid electrolyte material, preparation method thereof and solid lithium battery ","国联汽车动力电池研究院有限责任公司, 河北雄安稀土功能材料创新中心有限公司","徐国峰, 余金秋, 杨容, 罗亮, 赵尚骞, 王建涛",2020-12-31,2020-12-31,2021-05-25,,https://patents.google.com/patent/CN112838264A/en,https://patentimages.storage.googleapis.com/da/72/f8/39a00a5b381648/HDA0002878207800000011.png
JP-6683363-B2,Method for producing solid electrolyte ,出光興産株式会社,"千賀　実, 実 千賀, 孝 梅木, 孝 梅木",2015-06-17,2016-06-16,2020-04-22,2020-04-22,https://patents.google.com/patent/JP6683363B2/en,
CN-117457972-A,Preparation method and application of lithium sulfur silver germanium ore type solid electrolyte and sulfide film ,北京科技大学,"范丽珍, 李大兵, 李洋",2023-11-14,2023-11-14,2024-01-26,,https://patents.google.com/patent/CN117457972A/en,
CN-111406332-A,"Positive electrode active material for nonaqueous electrolyte secondary battery, and method for producing positive electrode active material for nonaqueous electrolyte secondary battery ",住友金属矿山株式会社,"相原俊明, 户屋广将",2017-11-21,2018-11-21,2020-07-10,,https://patents.google.com/patent/CN111406332A/en,https://patentimages.storage.googleapis.com/d0/2e/23/e5730728633d55/HDA0002495837840000011.png
JP-2019192490-A,Sulfide solid electrolyte and all-solid battery ,"国立大学法人東京工業大学, Tokyo Institute Of Technology, トヨタ自動車株式会社, Toyota Motor Corp","了次 菅野, Ryoji Sugano, 了次 菅野, 堀　智, Satoshi Hori, 智 堀, 真也 塩谷, Shinya Shiotani, 真也 塩谷",2018-04-25,2018-04-25,2019-10-31,,https://patents.google.com/patent/JP2019192490A/en,
CN-108238616-A,A kind of cubic phase sulfide and preparation method thereof ,华中科技大学,"谢佳, 孙玉龙, 彭林峰",2016-12-23,2016-12-23,2018-07-03,,https://patents.google.com/patent/CN108238616A/en,
